节点A,关系,节点B
AIGC视觉内容生成,核心依赖,深度学习
AIGC视觉内容生成,技术支撑,计算机视觉
深度学习,包含核心引擎,扩散模型
深度学习,包含视觉方案生成技术,生成对抗网络
深度学习,包含压缩与重建技术,变分自编码器
深度学习,包含时序建模技术,Transformer
深度学习,包含条件控制技术,ControlNet
深度学习,包含画质增强技术,超分辨率网络
计算机视觉,包含核心技术,目标检测与关键点提取
计算机视觉,用于,获取控制输入
计算机视觉,包含核心技术,图像风格迁移
图像风格迁移,实现,融入传统纹样
计算机视觉,包含核心技术,时空注意力机制
时空注意力机制,保证,动态连贯
AI实时同声字幕生成,核心依赖,深度学习
AI实时同声字幕生成,技术支撑,自然语言处理
AI实时同声字幕生成,技术优化,工程优化
深度学习,包含核心技术,端到端语音识别
端到端语音识别,实现,音频转文字
深度学习,包含声学语言建模技术,Transformer/Conformer
深度学习,包含语义优化技术,大语言模型
大语言模型,实现,语义纠错
深度学习,包含领域适配技术,预训练微调
自然语言处理,包含核心技术,自动语音识别
自动语音识别,实现,语音转文字
自然语言处理,包含优化技术,语义纠错
语义纠错,解决,同音字问题
自然语言处理,包含核心技术,命名实体识别
命名实体识别,实现,识别专有名词
自然语言处理,包含核心技术,分词断句
分词断句,实现,合理分句
工程优化,包含核心技术,流式推理
流式推理,实现,低延迟(<3秒)
工程优化,包含核心技术,多模态对齐
多模态对齐,实现,音字画同步
春晚具身智能机器人技术,包含感知层技术,高精度激光SLAM与实时定位
春晚具身智能机器人技术,包含决策层技术,控制算法
春晚具身智能机器人技术,包含执行层技术,武术高难度动作与精细操作
高精度激光SLAM与实时定位,采用,机器学习技术
高精度激光SLAM与实时定位,采用,深度学习技术
机器学习技术,包含,多传感器融合定位
多传感器融合定位,融合,激光雷达数据
多传感器融合定位,融合,IMU数据
多传感器融合定位,融合,视觉相机数据
多传感器融合定位,采用,贝叶斯滤波
贝叶斯滤波,包含,粒子滤波
贝叶斯滤波,包含,卡尔曼滤波
多传感器融合定位,实现,毫米级定位误差(±1mm)
机器学习技术,包含,点云特征提取
点云特征提取,采用,传统机器学习算法
传统机器学习算法,包含,ICP配准算法
传统机器学习算法,包含,NDT配准算法
点云特征提取,采用,轻量CNN
点云特征提取,实现,快速构建舞台3D地图
深度学习技术,包含,语义SLAM
语义SLAM,采用,CNN/Transformer
语义SLAM,实现,识别舞台边界
语义SLAM,实现,识别同伴机器人
语义SLAM,实现,识别真人演员
语义SLAM,实现,避免碰撞
语义SLAM,辅助,决策
深度学习技术,包含,视觉-激光深度估计
视觉-激光深度估计,采用,单目视觉网络
